,# of ratings (n),PROPORTION OF EXPECTED FINAL WORD (%),OTHER COMPLETIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fit the bill,108,0.56,,clothes,0.01,coat,0.01,criteria,0.01,description,0.14,dress,0.02,image,0.01,list,0.01,look,0.01,model,0.01,mold,0.09,part,0.01,pattern,0.01,picture,0.02,profile,0.08,puzzle,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flex one's muscles,107,0.91,,arms,0.03,authority,0.01,bicep,0.01,feet,0.01,hours,0.01,straw,0.01,swag,0.01,wits,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fly the coop,105,0.64,,kite,0.02,nest,0.07,next,0.01,paper,0.01,plan,0.01,plane,0.23,roost,0.01,sky,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From head to toe,108,0.96,,foot,0.01,mouth,0.01,tail,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gather dust,111,0.20,,about,0.01,ammo,0.01,apples,0.02,arms,0.01,around,0.01,berries,0.01,crowd,0.01,dark,0.01,event,0.01,facts,0.01,firewood,0.01,flowers,0.02,followers,0.01,gossip,0.01,grass,0.01,ground,0.01,group,0.01,herbs,0.01,ideas,0.01,information,0.03,intelligence,0.01,materials,0.01,meeting,0.01,moment,0.01,momentum,0.02,moss,0.05,notes,0.01,people,0.01,place,0.04,quickly,0.01,rain,0.01,rapidly,0.01,reinforcements,0.01,roses,0.01,speed,0.04,steam,0.07,stones,0.02,storm,0.02,straws,0.01,strength,0.01,there,0.03,time,0.03,today,0.01,together,0.10,up,0.03,wheat,0.01,wood,0.02,wool,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get a grip,108,0.13,,ball,0.01,break,0.08,clue,0.11,coat,0.01,date,0.01,deal,0.01,doctor,0.01,dog,0.02,drink,0.01,fix,0.01,gun,0.01,haircut,0.04,hand,0.01,handle,0.01,hint,0.01,hit,0.01,hobby,0.01,hug,0.01,husband,0.01,job,0.13,lead,0.01,life,0.14,makeover,0.01,man,0.01,manicure,0.01,nap,0.01,paper,0.01,pot,0.01,raise,0.04,replacement,0.01,rest,0.01,ride,0.01,shave,0.01,shot,0.01,signature,0.01,spanking,0.01,start,0.01,touch,0.01,train,0.01,trim,0.01,way,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get a handle on it,110,0.57,,bike,0.01,diving,0.01,everything,0.02,her,0.02,him,0.05,life,0.04,love,0.01,them,0.02,things,0.25,this,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get a headstart,105,0.30,,A,0.01,ache,0.10,band,0.01,blowjob,0.01,boner,0.01,bonus,0.01,break,0.01,butt,0.01,call,0.02,car,0.01,chance,0.02,checkup,0.01,chicken,0.01,clue,0.01,cold,0.03,cookie,0.01,dog,0.01,dollar,0.01,feeling,0.01,fast,0.01,go,0.01,grade,0.01,gun,0.01,hair,0.01,idea,0.01,job,0.05,laugh,0.01,lead,0.01,life,0.01,on,0.01,pass,0.02,perm,0.01,pet,0.01,present,0.01,prize,0.01,promotion,0.01,puppy,0.01,raise,0.04,reward,0.02,ride,0.01,rush,0.01,shock,0.01,sign,0.01,thing,0.01,thrill,0.01,ticket,0.01,tip,0.01,trophy,0.01,up,0.01,winner,0.01,wish,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get a kick out of it,105,0.75,,bed,0.01,comedy,0.01,him,0.08,karate,0.01,laughing,0.01,life,0.02,riddles,0.01,running,0.01,school,0.04,that,0.04,winning,0.01,yelling,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get a rise out of him/her/them/us,112,0.71,,apartments,0.01,bed,0.01,it,0.24,nothing,0.01,steam,0.01,that,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get a slap on the wrist,107,0.60,,ass,0.01,back,0.12,bench,0.01,bottom,0.02,butt,0.02,cheek,0.02,face,0.13,hand,0.05,head,0.01,knee,0.01,rear,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get an earful,109,0.08,,A/A+ ,0.16,abortion,0.03,accident,0.03,adventure,0.01,alibi,0.01,animal,0.01,answer,0.10,apple,0.11,award,0.07,eagle,0.02,earring,0.03,egg,0.02,email,0.01,emu,0.01,engagement,0.01,excuse,0.01,eye,0.03,eyeful,0.03,headache,0.01,idea,0.07,illness,0.01,implant,0.01,infection,0.01,interview,0.01,invitation,0.02,issue,0.01,job,0.01,octopus,0.01,orange,0.03,order,0.01,ornament,0.01,out,0.01,outlook,0.01,ovation,0.01,problem,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get away from it all,110,0.68,,bad,0.01,early,0.01,everything,0.01,fast,0.03,forever,0.03,leaking,0.01,now,0.15,promptly,0.01,quickly,0.05,today,0.01,tonight,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get back on one's feet,108,0.57,,back,0.01,bike/bikes,0.05,game,0.03,grind,0.03,heads,0.01,horse,0.21,own,0.02,rocker,0.01,saddle,0.03,scooter,0.01,swing,0.01,time,0.01,wagon,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get carried away,104,0.98,,on,0.01,out,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get down to business,106,0.68,,earth,0.03,facts,0.03,help,0.01,it,0.14,leave,0.01,party,0.01,point,0.01,propose,0.01,science,0.01,tacks,0.01,winning,0.01,work,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get hot under the collar,107,0.64,,blanket,0.01,blankets,0.01,car,0.01,covers,0.02,fire,0.01,gills,0.01,heat,0.01,hood,0.07,lid,0.01,lights,0.01,neck,0.01,pants,0.01,pressure,0.05,rock,0.01,roof,0.01,seat,0.01,shirt,0.01,skin,0.01,sun,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get in on the act,106,0.03,,411,0.01,action,0.16,beginning,0.01,bet,0.04,bottom,0.01,brink,0.01,car,0.01,challenge,0.01,chin,0.01,conversation,0.01,deal,0.11,dime,0.01,dot,0.01,downlow,0.01,end,0.01,exam,0.01,fight,0.02,floor,0.01,fly,0.03,foot,0.01,fun,0.06,game,0.08,gig,0.01,head,0.01,internet,0.01,investment,0.01,joke,0.06,mark,0.01,nose,0.03,plan/plans,0.03,prank,0.02,rebound,0.01,right,0.01,ruckus,0.01,run,0.01,scam,0.01,scheme,0.01,scoop,0.02,show,0.01,surprise,0.02,take,0.02,way,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get in on the ground floor,104,0.71,,breaking,0.01,call,0.01,fast,0.01,grass,0.01,level,0.14,offensive,0.01,plan,0.01,right,0.01,running,0.04,site,0.01,today,0.01,up,0.01,zero,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get into gear,110,0.00,,action,0.04,arguments,0.04,bed,0.13,character,0.02,college,0.04,debt,0.02,drugs,0.05,fight/fights,0.16,it,0.41,mud,0.03,shape,0.02,taxis,0.02,things,0.04,trouble,0.93,water,0.02,words,0.02,yoga,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get it together,108,0.28,,all,0.02,back,0.01,bad,0.02,covered,0.01,done,0.26,down,0.05,easily,0.01,even,0.01,finished,0.01,fixed,0.02,going,0.02,good,0.03,home,0.01,in,0.01,made,0.02,mended,0.01,now,0.02,off,0.02,out,0.05,quick,0.01,right,0.06,soon,0.02,straight,0.01,wrong,0.03,yesterday,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get more than one bargained for,108,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get off on the wrong foot,106,0.87,,bus,0.01,end,0.01,exit,0.02,path,0.01,side,0.01,start,0.02,stop,0.01,street,0.01,track,0.03,turn,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get off one's case,103,0.17,,ass,0.01,back,0.41,bed,0.02,bicycle,0.01,bus,0.01,car,0.01,chair,0.02,chest,0.01,couch,0.03,feet,0.01,hands,0.01,horse,0.01,insecure,0.01,lap,0.01,lawn,0.02,mind,0.16,phone,0.01,porch,0.01,ride,0.01,rocker,0.01,side,0.02,stage,0.01,time,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get off the ground,106,0.25,,base,0.01,bat,0.01,bed,0.02,boat,0.03,box,0.01,bus,0.02,chain,0.02,chart,0.01,charts,0.02,edge,0.01,fence,0.01,floor,0.02,food,0.01,hook,0.03,jury,0.01,lawn,0.01,mark,0.01,message,0.01,pier,0.01,plane,0.01,rack,0.01,radar,0.01,rail/rails,0.07,ride,0.01,road,0.06,rock/rocks,0.02,rocker,0.02,ship/ships,0.02,snide,0.01,stain,0.01,subject,0.03,topic,0.01,track/tracks,0.13,train,0.04,tree,0.01,trolley,0.01,wagon,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get off to a flying start,105,0.95,,coach,0.01,fuck,0.01,gait,0.01,leap,0.01,plain,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get on one's soapbox,108,0.03,,bike,0.10,case,0.02,cat,0.01,chair,0.02,coat,0.01,desert,0.01,dress,0.01,feet,0.08,floor,0.01,game,0.02,grind,0.02,heels,0.02,high-horse,0.05,hook,0.01,horse,0.12,job,0.01,knees,0.25,name,0.01,nerve/nerves,0.14,phone,0.02,rocker,0.01,things,0.01,way,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get on someone's nerves,110,0.89,,back,0.01,camera,0.01,case,0.02,goat,0.01,lap,0.01,motorcycle,0.01,shoes,0.01,side,0.02,waiting,0.01,way,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get one's act together,110,0.94,,on,0.01,out,0.01,right,0.01,straight,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get out of hand,110,0.65,,control,0.30,dodge,0.01,hillbilly,0.01,him,0.01,line,0.01,there,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get over the hump,105,0.27,,accident,0.01,affair,0.01,argument,0.01,barrel,0.01,bend,0.01,bridge,0.02,deal,0.01,death,0.01,disappointment,0.01,fear,0.01,fence,0.05,fight,0.03,gambit,0.01,gold,0.01,heap,0.01,hill,0.15,hurt,0.01,it,0.01,issue,0.01,jitters,0.01,ledge,0.01,loss,0.01,moon,0.02,mountain,0.02,noise,0.01,pain,0.02,past,0.02,phone,0.01,problem,0.01,rainbow,0.01,sadness,0.01,setback,0.01,shock,0.03,shortfall,0.01,slump,0.01,sorrow,0.01,task,0.01,themselves,0.01,threshold,0.01,top,0.01,tragedy,0.02,trauma,0.01,wall,0.05,words,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get someone off your back,108,0.52,,arms,0.01,ass,0.02,bandwagon,0.01,bike,0.01,case,0.10,chair,0.01,chest,0.05,couch,0.02,feet,0.03,friend,0.01,hands,0.01,horse,0.01,lap,0.01,list,0.01,mind,0.04,pants,0.01,pedestal,0.01,phone,0.01,plate,0.01,porch,0.01,problem,0.01,rocker,0.03,rocks,0.01,sister,0.01,tail,0.02,trail,0.01,wall,0.01,wheels,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get someone out of your hair,108,0.19,,bed,0.02,bedroom,0.01,business,0.01,car,0.04,control,0.01,debt,0.01,funk,0.01,head,0.09,house,0.06,life,0.06,mind,0.32,shell,0.01,sight,0.01,spot,0.01,system,0.06,way,0.06,web,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get something out of one's system,105,0.10,,bag,0.03,box,0.01,business,0.01,butt,0.01,car,0.03,element,0.01,finger,0.01,fridge,0.01,hands,0.02,head,0.11,hat,0.01,head,0.10,house,0.01,mind,0.21,pocket,0.08,purse,0.01,shirt,0.01,system,0.16,wallet,0.01,way,0.04,yard,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get something straight,104,0.03,,again,0.01,all,0.01,approved,0.01,back,0.03,bad,0.01,better,0.01,covered,0.03,done,0.21,down,0.06,fast,0.01,first,0.01,finished,0.01,good,0.01,going,0.02,honest/honestly,0.02,in,0.02,out,0.05,over,0.01,resolved,0.01,right,0.33,soon,0.01,started,0.01,through,0.01,together,0.03,working,0.01,wrong,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the ball rolling,107,0.51,,autographed,0.01,back,0.16,bag,0.01,boy,0.01,down,0.02,dropped,0.01,fast,0.03,fly,0.01,game,0.03,glove,0.01,going,0.03,hard,0.01,in,0.04,off,0.01,out,0.02,over,0.01,pump,0.01,running,0.02,started,0.01,stuck,0.02,toss,0.01,triumphantly,0.01,up,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the better of her/him/us/me/it,108,0.84,,addiction,0.01,deal,0.01,end,0.01,it,0.06,life,0.02,recognition,0.01,two,0.02,winning,0.01,worlds,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the message,109,0.13,,ax,0.01,ball,0.02,best,0.03,bill,0.02,blues,0.01,boot,0.01,box,0.01,bump,0.01,call,0.02,cat,0.01,chills,0.01,deal,0.01,dress,0.01,drift,0.01,fire,0.01,flu,0.01,gist,0.02,gold,0.03,goods,0.02,grove,0.01,grade,0.01,guy,0.01,hint,0.07,house,0.01,idea,0.09,job,0.06,keys,0.01,list,0.01,look,0.04,magazine,0.01,mail,0.02,meaning,0.01,medal,0.01,memo,0.02,money,0.01,moves,0.01,news,0.01,newspaper,0.01,nod,0.01,one,0.01,paper,0.01,picture,0.02,point,0.07,power,0.01,prize,0.02,raise,0.01,ribbon,0.01,star,0.01,ticket,0.01,trophy,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the picture,107,0.02,,answer,0.02,apples,0.01,approval,0.01,ax,0.01,award,0.01,bag,0.02,ball,0.02,bomb,0.01,boot,0.03,call,0.01,car,0.01,cold,0.01,door,0.01,drift,0.02,floor,0.01,flu,0.01,girl,0.01,gist,0.03,goods,0.02,hint,0.07,idea,0.07,job,0.12,joke,0.02,lead,0.01,lesson,0.01,letter,0.02,man,0.02,memo,0.01,message,0.11,mojo,0.01,money,0.04,moves,0.01,news,0.01,newspaper,0.01,out,0.01,package,0.01,part,0.01,point,0.08,prize,0.01,promotion,0.01,roses,0.01,shaft,0.01,silver,0.01,win,0.01,word,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the sack,106,0.00,,answer,0.02,antelope,0.01,axe,0.02,ball,0.02,bat,0.01,beat,0.01,best,0.02,bird,0.01,blues,0.01,bonus,0.01,book,0.01,boot,0.03,brunt,0.01,car,0.03,chicken,0.01,deal,0.01,door,0.01,drift,0.01,drugs,0.01,fire,0.01,gift,0.01,girl,0.01,gist,0.04,goal,0.01,gold,0.02,goods,0.02,gun,0.01,hint,0.02,hook,0.01,horns,0.01,idea,0.05,job,0.12,joke,0.04,mail,0.01,medal,0.01,message,0.06,news,0.03,oranges,0.01,part,0.03,picture,0.03,pizza,0.01,point,0.04,power,0.01,prize,0.03,promotion,0.01,raise,0.01,score,0.01,shaft,0.02,side,0.01,swagger,0.01,thing,0.01,time,0.01,turkey,0.01,win,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the upper hand,104,0.91,,arm,0.01,control,0.01,crust,0.01,cut,0.02,floor,0.01,prize,0.01,reward,0.01,word,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get to the bottom of it,105,0.78,,cliff,0.01,everything,0.05,hill,0.01,list,0.01,that,0.01,things,0.11,this,0.01,wall,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get too big for one's boots,110,0.03,,bed,0.02,body,0.01,bones,0.01,britches,0.65,chair,0.01,clothes,0.03,crib,0.02,dress,0.02,ego,0.01,friends,0.01,good,0.01,head,0.02,pants,0.10,self,0.02,shoes,0.04,size,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get under someone's skin,108,0.87,,bed,0.02,covers,0.01,feet,0.01,fingernails,0.01,leg,0.01,nails,0.02,nose,0.01,sheets,0.01,skirt,0.01,spell,0.01,umbrella,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get up on the wrong side of the bed,108,0.97,,force,0.01,law,0.01,street,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get wind of something/it,111,0.83,,air,0.02,betrayal,0.01,change,0.01,everything,0.01,foreclosing,0.01,her,0.05,him,0.02,rumors,0.02,smell,0.01,trouble,0.01,word,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get your hands dirty,108,0.68,,broke,0.01,clean,0.01,dry,0.01,free,0.01,full,0.06,massaged,0.01,on,0.02,out,0.02,tied,0.06,together,0.01,washed,0.01,wet,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting above oneself,105,0.09,,60,0.01,air,0.01,average,0.16,board,0.10,clearance,0.01,clouds,0.01,everyone,0.01,everything,0.01,grade,0.01,ground,0.07,her,0.01,herself,0.08,him,0.10,it,0.15,notice,0.01,others,0.01,poverty,0.01,someone,0.01,stature,0.01,them,0.02,things,0.01,trees,0.01,water,0.10,zero,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give a back-handed compliment,107,0.55,,comment,0.03,hug,0.01,look,0.01,massage,0.01,remark/remarks,0.02,reply,0.02,response,0.02,serve,0.01,slap,0.27,stab,0.01,swing,0.03,wave,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give one's right arm to do something,111,0.60,,eye,0.04,grade,0.03,hand,0.19,impression,0.02,leg,0.04,mind,0.04,nut,0.01,testicle,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give oneself a pat on the back,105,0.97,,head,0.01,shoulder,0.01,wall,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone a break,106,0.01,,bar,0.01,bat,0.01,bone,0.03,boost,0.02,call,0.02,car,0.01,chance,0.07,check,0.01,cookie,0.01,dollar,0.03,fine,0.01,gift,0.01,glance,0.01,glare,0.01,hand,0.02,headache,0.01,hug,0.09,idea,0.01,job,0.01,kiss,0.12,knife,0.01,line,0.01,locket,0.01,look,0.07,medal,0.02,package,0.01,paper,0.01,pass,0.04,pat,0.01,present,0.01,prize,0.01,promotion,0.01,push,0.03,raise,0.04,reason,0.01,ring,0.01,run,0.01,score,0.01,shot,0.02,shout,0.01,shove,0.01,smack,0.01,smile,0.04,star,0.01,turn,0.01,warning,0.01,wedgie,0.01,wink,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone a dirty look,107,0.87,,diaper,0.01,shirt,0.01,spoon,0.01,stare,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
